# Forces     
# CofR       : (5.000000e-01 0.000000e+00 0.000000e+00)
# Time       forces(pressure viscous porous)	moments(pressure viscous porous)
1            	((-5.991210e-03 -4.845929e-02 1.898426e-21) (5.300665e-05 -3.237393e-06 7.080766e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.881939e-23 7.547676e-22 1.983948e-02) (-1.435230e-23 1.691100e-22 2.557700e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
2            	((-1.760353e-03 -1.697930e-02 6.238870e-22) (4.793742e-05 6.149862e-07 -1.750668e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.654393e-23 2.855324e-22 6.756920e-03) (3.387964e-24 -4.008496e-23 9.625937e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
3            	((-4.187961e-04 -7.229154e-03 3.830244e-22) (4.172182e-05 3.095204e-06 -7.354130e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.646089e-23 1.768699e-22 2.700192e-03) (1.466071e-24 -1.756634e-23 -2.871302e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
4            	((-9.166303e-05 -5.003312e-03 3.242985e-22) (3.681177e-05 2.574685e-06 -1.071230e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.364700e-23 1.469829e-22 1.797415e-03) (2.066506e-25 -2.434360e-24 -2.309096e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
5            	((-2.935887e-05 -4.410548e-03 3.131103e-22) (3.308308e-05 2.227552e-06 6.195563e-24) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.257090e-23 1.361343e-22 1.581392e-03) (-1.290495e-25 1.552152e-24 -2.161441e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
6            	((-5.276858e-05 -4.502831e-03 2.620568e-22) (3.022418e-05 1.962813e-06 1.237036e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.121944e-23 1.206025e-22 1.643609e-03) (-2.728319e-25 3.199063e-24 -1.970349e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
7            	((-1.001034e-04 -4.563349e-03 2.513250e-22) (2.788912e-05 1.796866e-06 1.262860e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.065654e-23 1.146762e-22 1.692656e-03) (-2.661829e-25 3.143050e-24 -1.953904e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
8            	((-1.174443e-04 -4.573441e-03 2.547155e-22) (2.621668e-05 1.668724e-06 1.795771e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.068865e-23 1.151575e-22 1.698854e-03) (-3.749603e-25 4.458442e-24 -1.938285e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
9            	((-1.192126e-04 -4.520103e-03 2.533401e-22) (2.476088e-05 1.545858e-06 1.693935e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.066492e-23 1.148601e-22 1.674321e-03) (-3.562943e-25 4.220866e-24 -1.833310e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
10           	((-8.615360e-05 -4.295960e-03 2.398782e-22) (2.320541e-05 1.439423e-06 1.604682e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.039119e-23 1.115532e-22 1.573118e-03) (-3.420749e-25 4.073896e-24 -1.800759e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
11           	((-1.969108e-05 -3.790439e-03 2.408452e-22) (2.128699e-05 1.357412e-06 1.110867e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.013979e-23 1.092034e-22 1.359729e-03) (-2.336520e-25 2.815449e-24 -1.945816e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
12           	((-1.366403e-05 -3.663047e-03 2.530535e-22) (1.985010e-05 1.271590e-06 1.429303e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.031160e-23 1.114727e-22 1.304781e-03) (-2.966769e-25 3.543583e-24 -1.977291e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
13           	((-4.594269e-06 -3.661138e-03 2.364817e-22) (1.865116e-05 1.196508e-06 1.670473e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.012622e-23 1.088489e-22 1.293785e-03) (-3.576769e-25 4.230795e-24 -2.012895e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
14           	((1.521033e-05 -3.426694e-03 2.358708e-22) (1.749851e-05 1.140448e-06 1.262558e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-9.959979e-24 1.072306e-22 1.196985e-03) (-2.643418e-25 3.161694e-24 -2.084312e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
