# Forces     
# CofR       : (5.000000e-01 0.000000e+00 0.000000e+00)
# Time       forces(pressure viscous porous)	moments(pressure viscous porous)
20           	((-1.517455e-06 -7.255807e-05 3.624375e-24) (2.352435e-06 1.151064e-07 6.843855e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.517556e-25 1.635396e-24 2.746613e-05) (-1.443125e-26 1.708918e-25 -4.629949e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
21           	((-1.346572e-06 -7.139278e-05 3.588682e-24) (2.335208e-06 1.152767e-07 6.853985e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.505061e-25 1.621629e-24 2.696698e-05) (-1.445073e-26 1.711237e-25 -9.719549e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
22           	((-1.183221e-06 -7.028384e-05 3.553845e-24) (2.317811e-06 1.152160e-07 6.890970e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.493369e-25 1.608673e-24 2.648957e-05) (-1.452848e-26 1.720408e-25 -1.373420e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
23           	((-1.017449e-06 -6.916054e-05 3.530218e-24) (2.300200e-06 1.149462e-07 6.883882e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.484051e-25 1.598560e-24 2.600483e-05) (-1.450896e-26 1.718249e-25 -1.679946e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
24           	((-9.346988e-07 -6.826488e-05 3.543051e-24) (2.284133e-06 1.145813e-07 6.801527e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.479317e-25 1.594703e-24 2.563759e-05) (-1.431345e-26 1.694285e-25 -1.895899e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
25           	((-8.388203e-07 -6.781054e-05 3.440009e-24) (2.268507e-06 1.138753e-07 7.257543e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.461780e-25 1.572653e-24 2.541182e-05) (-1.532713e-26 1.813798e-25 -1.959543e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
26           	((-6.030114e-07 -6.620347e-05 3.427575e-24) (2.250454e-06 1.130136e-07 6.856209e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.451651e-25 1.562343e-24 2.472653e-05) (-1.446150e-26 1.712823e-25 -1.981185e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
27           	((-5.269191e-07 -6.561318e-05 3.421577e-24) (2.235032e-06 1.122290e-07 7.071704e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.448232e-25 1.558770e-24 2.446621e-05) (-1.490080e-26 1.763101e-25 -1.986524e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
28           	((-4.228920e-07 -6.485611e-05 3.409524e-24) (2.219142e-06 1.112316e-07 7.071381e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.443034e-25 1.553187e-24 2.413519e-05) (-1.490595e-26 1.763874e-25 -1.901869e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
29           	((-2.401025e-07 -6.351040e-05 3.361267e-24) (2.202179e-06 1.101360e-07 6.994402e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.427740e-25 1.536100e-24 2.356139e-05) (-1.476965e-26 1.748460e-25 -1.788213e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
30           	((-1.845718e-07 -6.299368e-05 3.366028e-24) (2.187731e-06 1.090424e-07 7.110315e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.426290e-25 1.534962e-24 2.333672e-05) (-1.498736e-26 1.773144e-25 -1.630418e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
31           	((-9.220579e-08 -6.225660e-05 3.342490e-24) (2.172868e-06 1.078318e-07 7.144144e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.419038e-25 1.526827e-24 2.301666e-05) (-1.507496e-26 1.784000e-25 -1.423697e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
32           	((5.535196e-09 -6.149766e-05 3.331428e-24) (2.158081e-06 1.065849e-07 7.160247e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.413983e-25 1.521431e-24 2.268758e-05) (-1.510866e-26 1.788322e-25 -1.195652e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
33           	((1.001937e-07 -6.075701e-05 3.325424e-24) (2.143703e-06 1.053013e-07 7.189890e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.409901e-25 1.517225e-24 2.236686e-05) (-1.517293e-26 1.796140e-25 -9.424578e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
34           	((1.872722e-07 -6.005874e-05 3.321719e-24) (2.129639e-06 1.039866e-07 7.231360e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.406388e-25 1.513681e-24 2.206477e-05) (-1.526186e-26 1.806911e-25 -6.680133e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
35           	((2.663560e-07 -5.940466e-05 3.319915e-24) (2.115919e-06 1.026602e-07 7.271588e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.403453e-25 1.510786e-24 2.178201e-05) (-1.534657e-26 1.817218e-25 -3.806410e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
