"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.017615,1.0034,-0.0031741,0,-2.0828,-4.5707,0
0.017039,1.004,-0.0034247,0,-2.0064,-4.5707,0
0.016418,1.0047,-0.0036675,0,-1.93,-4.5707,0
0.015755,1.0054,-0.0039019,0,-1.8536,-4.5707,0
0.015051,1.0061,-0.0041272,0,-1.7771,-4.5707,0
0.01431,1.0069,-0.0043427,0,-1.7007,-4.5707,0
0.013532,1.0077,-0.0045479,0,-1.6243,-4.5707,0
0.012721,1.0085,-0.004742,0,-1.5478,-4.5707,0
0.011878,1.0094,-0.0049245,0,-1.4714,-4.5707,0
0.011007,1.0103,-0.0050947,0,-1.395,-4.5707,0
0.01011,1.0113,-0.0052522,0,-1.3185,-4.5707,0
0.009189,1.0123,-0.0053963,0,-1.2421,-4.5707,0
0.008248,1.0133,-0.0055267,0,-1.1657,-4.5707,0
0.0072896,1.0143,-0.0056428,0,-1.0893,-4.5707,0
0.0063168,1.0153,-0.0057442,0,-1.0128,-4.5707,0
0.0053328,1.0164,-0.0058307,0,-0.9364,-4.5707,0
0.0043406,1.0175,-0.0059018,0,-0.85997,-4.5707,0
0.0033434,1.0186,-0.0059571,0,-0.78354,-4.5707,0
0.0023379,1.0197,-0.0059713,0,-0.70711,-4.5707,0
0.021435,1,0,0,-3,-4.4276,0
0.021419,1,-0.00027277,0,-2.9236,-4.4276,0
0.021366,1.0001,-0.00059327,0,-2.8471,-4.4276,0
0.021265,1.0002,-0.00094928,0,-2.7707,-4.4276,0
0.021115,1.0003,-0.0013226,0,-2.6943,-4.4276,0
0.020919,1.0006,-0.0017038,0,-2.6179,-4.4276,0
0.020674,1.0008,-0.0020863,0,-2.5414,-4.4276,0
0.020379,1.0011,-0.0024662,0,-2.465,-4.4276,0
0.020031,1.0015,-0.0028416,0,-2.3886,-4.4276,0
0.019632,1.0019,-0.0032113,0,-2.3121,-4.4276,0
0.019181,1.0024,-0.0035744,0,-2.2357,-4.4276,0
0.01868,1.0029,-0.0039299,0,-2.1593,-4.4276,0
0.018131,1.0035,-0.0042768,0,-2.0828,-4.4276,0
0.017534,1.0041,-0.0046143,0,-2.0064,-4.4276,0
0.016891,1.0048,-0.0049413,0,-1.93,-4.4276,0
0.016205,1.0055,-0.0052571,0,-1.8536,-4.4276,0
0.015477,1.0063,-0.0055606,0,-1.7771,-4.4276,0
0.014708,1.0071,-0.0058511,0,-1.7007,-4.4276,0
0.013902,1.0079,-0.0061275,0,-1.6243,-4.4276,0
0.013061,1.0088,-0.0063891,0,-1.5478,-4.4276,0
0.012187,1.0097,-0.0066351,0,-1.4714,-4.4276,0
0.011283,1.0107,-0.0068646,0,-1.395,-4.4276,0
0.010352,1.0116,-0.0070769,0,-1.3185,-4.4276,0
0.0093965,1.0126,-0.0072714,0,-1.2421,-4.4276,0
0.0084195,1.0137,-0.0074473,0,-1.1657,-4.4276,0
0.0074243,1.0147,-0.007604,0,-1.0893,-4.4276,0
0.006414,1.0158,-0.0077411,0,-1.0128,-4.4276,0
0.0053919,1.0169,-0.0078581,0,-0.9364,-4.4276,0
0.0043612,1.018,-0.0079546,0,-0.85997,-4.4276,0
0.0033253,1.0191,-0.0080299,0,-0.78354,-4.4276,0
0.0022782,1.0203,-0.0080475,0,-0.70711,-4.4276,0
0.022247,1,0,0,-3,-4.2845,0
0.022231,1,-0.00034589,0,-2.9236,-4.2845,0
0.022175,1.0001,-0.00075217,0,-2.8471,-4.2845,0
0.022069,1.0002,-0.0012034,0,-2.7707,-4.2845,0
0.021914,1.0004,-0.0016764,0,-2.6943,-4.2845,0
0.021709,1.0006,-0.0021593,0,-2.6179,-4.2845,0
0.021455,1.0009,-0.0026438,0,-2.5414,-4.2845,0
0.021148,1.0012,-0.003125,0,-2.465,-4.2845,0
0.020786,1.0016,-0.0036004,0,-2.3886,-4.2845,0
0.02037,1.002,-0.0040686,0,-2.3121,-4.2845,0
0.0199,1.0025,-0.0045284,0,-2.2357,-4.2845,0
0.019378,1.0031,-0.0049785,0,-2.1593,-4.2845,0
0.018805,1.0037,-0.0054178,0,-2.0828,-4.2845,0
0.018182,1.0043,-0.0058452,0,-2.0064,-4.2845,0
0.017511,1.005,-0.0062595,0,-1.93,-4.2845,0
0.016795,1.0057,-0.0066595,0,-1.8536,-4.2845,0
0.016034,1.0065,-0.007044,0,-1.7771,-4.2845,0
0.01523,1.0074,-0.0074121,0,-1.7007,-4.2845,0
0.014388,1.0082,-0.0077624,0,-1.6243,-4.2845,0
0.013508,1.0091,-0.008094,0,-1.5478,-4.2845,0
0.012593,1.0101,-0.0084059,0,-1.4714,-4.2845,0
0.011647,1.0111,-0.0086969,0,-1.395,-4.2845,0
0.010671,1.0121,-0.0089662,0,-1.3185,-4.2845,0
0.0096703,1.0131,-0.0092128,0,-1.2421,-4.2845,0
0.0086465,1.0142,-0.009436,0,-1.1657,-4.2845,0
0.0076032,1.0153,-0.009635,0,-1.0893,-4.2845,0
0.0065439,1.0164,-0.009809,0,-1.0128,-4.2845,0
0.005472,1.0176,-0.0099577,0,-0.9364,-4.2845,0
0.0043911,1.0187,-0.01008,0,-0.85997,-4.2845,0
0.0033046,1.0199,-0.010176,0,-0.78354,-4.2845,0
0.002203,1.021,-0.010197,0,-0.70711,-4.2845,0
0.023258,1,0,0,-3,-4.1414,0
0.023241,1,-0.00042229,0,-2.9236,-4.1414,0
0.023182,1.0001,-0.0009181,0,-2.8471,-4.1414,0
0.023072,1.0002,-0.0014686,0,-2.7707,-4.1414,0
0.022909,1.0004,-0.0020455,0,-2.6943,-4.1414,0
0.022695,1.0006,-0.0026345,0,-2.6179,-4.1414,0
0.022428,1.0009,-0.0032252,0,-2.5414,-4.1414,0
0.022106,1.0012,-0.0038118,0,-2.465,-4.1414,0
0.021726,1.0016,-0.0043914,0,-2.3886,-4.1414,0
0.02129,1.0021,-0.0049621,0,-2.3121,-4.1414,0
0.020797,1.0026,-0.0055225,0,-2.2357,-4.1414,0
0.020248,1.0032,-0.0060712,0,-2.1593,-4.1414,0
0.019646,1.0038,-0.0066069,0,-2.0828,-4.1414,0
0.018991,1.0045,-0.007128,0,-2.0064,-4.1414,0
0.018286,1.0052,-0.0076331,0,-1.93,-4.1414,0
0.017532,1.006,-0.008121,0,-1.8536,-4.1414,0
0.01673,1.0068,-0.0085901,0,-1.7771,-4.1414,0
0.015884,1.0077,-0.0090392,0,-1.7007,-4.1414,0
0.014996,1.0086,-0.0094668,0,-1.6243,-4.1414,0
0.014068,1.0096,-0.0098716,0,-1.5478,-4.1414,0
0.013103,1.0105,-0.010252,0,-1.4714,-4.1414,0
0.012104,1.0116,-0.010608,0,-1.395,-4.1414,0
0.011073,1.0126,-0.010937,0,-1.3185,-4.1414,0
0.010015,1.0137,-0.011238,0,-1.2421,-4.1414,0
0.0089329,1.0149,-0.011511,0,-1.1657,-4.1414,0
0.0078296,1.016,-0.011754,0,-1.0893,-4.1414,0
0.0067089,1.0172,-0.011966,0,-1.0128,-4.1414,0
0.0055747,1.0184,-0.012148,0,-0.9364,-4.1414,0
0.0044307,1.0196,-0.012298,0,-0.85997,-4.1414,0
0.0032807,1.0208,-0.012415,0,-0.78354,-4.1414,0
0.0021103,1.022,-0.012437,0,-0.70711,-4.1414,0
0.024479,1,0,0,-3,-3.9983,0
0.024461,1,-0.0005026,0,-2.9236,-3.9983,0
0.024399,1.0001,-0.0010924,0,-2.8471,-3.9983,0
0.024283,1.0002,-0.0017471,0,-2.7707,-3.9983,0
