# Forces     
# CofR       : (5.000000e-01 0.000000e+00 0.000000e+00)
# Time       forces(pressure viscous porous)	moments(pressure viscous porous)
20           	((6.552068e-04 -8.611209e-03 6.287878e-22) (1.787949e-05 2.336688e-06 4.198352e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.188462e-23 3.367644e-22 2.619894e-03) (-8.888306e-25 1.057399e-23 -9.529102e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
21           	((7.109986e-04 -7.989433e-03 6.188754e-22) (1.517552e-05 2.124204e-06 3.914381e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.141820e-23 3.318012e-22 2.365614e-03) (-8.179227e-25 9.810333e-24 -9.211213e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
22           	((7.810250e-04 -7.339537e-03 5.793609e-22) (1.282793e-05 1.939580e-06 3.882020e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.041334e-23 3.201725e-22 2.096206e-03) (-8.258171e-25 9.889632e-24 -8.931774e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
23           	((8.741283e-04 -6.654905e-03 5.394221e-22) (1.088002e-05 1.741939e-06 4.238201e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.955874e-23 3.099564e-22 1.803809e-03) (-8.945176e-25 1.073933e-23 -8.471023e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
24           	((9.626609e-04 -6.049636e-03 5.354553e-22) (9.691590e-06 1.593059e-06 4.077451e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.935586e-23 3.078153e-22 1.546502e-03) (-8.655569e-25 1.036856e-23 -8.006549e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
25           	((9.782112e-04 -5.911394e-03 5.593843e-22) (9.365726e-06 1.503405e-06 3.945645e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.988784e-23 3.141267e-22 1.486029e-03) (-8.295606e-25 9.907579e-24 -7.581076e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
26           	((9.976899e-04 -5.765965e-03 5.554774e-22) (9.202831e-06 1.418404e-06 4.454932e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.992203e-23 3.142517e-22 1.419259e-03) (-9.385481e-25 1.120223e-23 -7.092922e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
27           	((1.029535e-03 -5.563486e-03 5.569488e-22) (9.170686e-06 1.347549e-06 4.502801e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.001758e-23 3.152396e-22 1.328745e-03) (-9.595925e-25 1.143485e-23 -6.592910e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
28           	((1.066047e-03 -5.384244e-03 5.517208e-22) (9.191245e-06 1.305146e-06 3.981044e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.996886e-23 3.145051e-22 1.247351e-03) (-8.406277e-25 1.003993e-23 -6.237078e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
29           	((1.098557e-03 -5.192433e-03 5.556868e-22) (9.346209e-06 1.287700e-06 4.312550e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.999861e-23 3.149935e-22 1.164565e-03) (-9.138712e-25 1.093274e-23 -5.964278e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
