0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.415076265570369952e-03,-1.057376065425517236e-02,1.057376065425517236e-02
1.220260941411181743e-02,-1.560103036977247143e-02,1.560103036977247143e-02
2.071045011350709786e-02,-1.998186610708737113e-02,1.998186610708737113e-02
3.137461215621343419e-02,-2.414789765194164800e-02,2.414789765194164800e-02
4.474161749767238683e-02,-2.824140203642123981e-02,2.824140203642123981e-02
6.149650466865237697e-02,-3.230641345486093968e-02,3.230641345486093968e-02
8.249793594971670252e-02,-3.632177406322859708e-02,3.632177406322859708e-02
1.088222024966856022e-01,-4.020896319122486962e-02,4.020896319122486962e-02
1.418183826123080582e-01,-4.381849265243673713e-02,4.381849265243673713e-02
1.831774799410031407e-01,-4.691178005787342148e-02,4.691178005787342148e-02
2.350190848131555876e-01,-4.913760577820069225e-02,4.913760577820069225e-02
3.000000000000000444e-01,-5.000581294669408788e-02,5.000581294669408788e-02
3.910767175282197083e-01,-4.860057839983880634e-02,4.860057839983880634e-02
4.878601718626064954e-01,-4.468221159997964181e-02,4.468221159997964181e-02
5.907079389661364921e-01,-3.853030939177187753e-02,3.853030939177187753e-02
7.000000000000001776e-01,-3.028042801094196421e-02,3.028042801094196421e-02
8.410570707909518218e-01,-1.745032831983236998e-02,1.745032831983236998e-02
9.235477462095699197e-01,-8.823165080747163297e-03,8.823165080747163297e-03
9.717885858418098266e-01,-3.355667195154241403e-03,3.355667195154241403e-03
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
