# Forces     
# CofR       : (5.000000e-01 0.000000e+00 0.000000e+00)
# Time       forces(pressure viscous porous)	moments(pressure viscous porous)
20           	((2.583853e-03 -4.218921e-02 3.200745e-21) (6.742428e-05 9.063317e-06 1.086897e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.429367e-22 1.529380e-21 1.364550e-02) (-2.289225e-24 2.736139e-23 -3.077247e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
21           	((2.760254e-03 -4.014093e-02 3.119064e-21) (6.206397e-05 8.523477e-06 1.273646e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.403366e-22 1.500350e-21 1.280563e-02) (-2.666980e-24 3.179064e-23 -2.973856e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
22           	((3.034739e-03 -3.796065e-02 2.915667e-21) (5.725627e-05 8.160086e-06 1.338380e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.359573e-22 1.448064e-21 1.186983e-02) (-2.846802e-24 3.391925e-23 -2.921665e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
23           	((3.565785e-03 -3.515031e-02 2.750650e-21) (5.174974e-05 7.934833e-06 1.313341e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.327873e-22 1.409299e-21 1.061834e-02) (-2.777273e-24 3.323070e-23 -2.923152e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
24           	((3.509125e-03 -3.497870e-02 2.795805e-21) (5.081195e-05 7.836639e-06 1.407161e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.338836e-22 1.422091e-21 1.054103e-02) (-2.968555e-24 3.524879e-23 -2.859386e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
25           	((3.459086e-03 -3.484206e-02 2.821476e-21) (5.152114e-05 7.733156e-06 1.325472e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.346728e-22 1.430948e-21 1.047417e-02) (-2.803480e-24 3.327079e-23 -2.747159e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
26           	((3.586262e-03 -3.395680e-02 2.755497e-21) (5.226028e-05 7.665507e-06 1.311543e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.336273e-22 1.417567e-21 1.007256e-02) (-2.776790e-24 3.306924e-23 -2.642311e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
27           	((3.667338e-03 -3.324794e-02 2.824139e-21) (5.354957e-05 7.777218e-06 1.368806e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.348079e-22 1.432374e-21 9.768528e-03) (-2.872489e-24 3.427043e-23 -2.596530e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
28           	((3.879660e-03 -3.217665e-02 2.767730e-21) (5.372880e-05 7.799396e-06 1.313359e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.340326e-22 1.422066e-21 9.269231e-03) (-2.760870e-24 3.300287e-23 -2.541080e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
29           	((3.969397e-03 -3.144413e-02 2.888805e-21) (5.434808e-05 7.829398e-06 1.319211e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.362085e-22 1.449077e-21 8.948847e-03) (-2.741959e-24 3.281360e-23 -2.473340e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
30           	((3.958228e-03 -3.163857e-02 2.978420e-21) (5.660815e-05 7.858678e-06 1.322121e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.385498e-22 1.476045e-21 9.002321e-03) (-2.771018e-24 3.302703e-23 -2.388444e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
31           	((3.958674e-03 -3.163559e-02 3.003562e-21) (5.877603e-05 7.825743e-06 1.300554e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.395266e-22 1.486665e-21 8.970766e-03) (-2.738006e-24 3.263668e-23 -2.273074e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
32           	((4.026582e-03 -3.125684e-02 3.020473e-21) (6.083404e-05 7.722832e-06 1.458948e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.400762e-22 1.492783e-21 8.785583e-03) (-3.069087e-24 3.665925e-23 -2.125509e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
33           	((4.061615e-03 -3.121112e-02 3.050159e-21) (6.323039e-05 7.672865e-06 1.561621e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.410851e-22 1.503943e-21 8.734951e-03) (-3.280671e-24 3.918546e-23 -2.008281e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
34           	((4.167470e-03 -3.041803e-02 3.046288e-21) (6.515936e-05 7.636513e-06 1.345477e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.407733e-22 1.500768e-21 8.390074e-03) (-2.831376e-24 3.386116e-23 -1.906830e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
35           	((4.177697e-03 -3.054424e-02 3.105081e-21) (6.822056e-05 7.600931e-06 1.444785e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.423563e-22 1.518909e-21 8.417390e-03) (-3.037495e-24 3.626038e-23 -1.786493e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
36           	((4.218441e-03 -3.022383e-02 3.074935e-21) (7.060167e-05 7.589982e-06 1.380021e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.418848e-22 1.512854e-21 8.261383e-03) (-2.899059e-24 3.465521e-23 -1.687793e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
37           	((4.234003e-03 -3.032659e-02 3.120649e-21) (7.317761e-05 7.579809e-06 1.514801e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.432099e-22 1.527859e-21 8.279116e-03) (-3.183737e-24 3.802405e-23 -1.586863e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
38           	((4.282365e-03 -2.982565e-02 3.150113e-21) (7.519847e-05 7.614248e-06 1.420307e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.436111e-22 1.533207e-21 8.062125e-03) (-2.978096e-24 3.562853e-23 -1.518634e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
39           	((4.346266e-03 -2.956926e-02 3.144307e-21) (7.741836e-05 7.592936e-06 1.427018e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.437300e-22 1.534043e-21 7.932703e-03) (-2.994344e-24 3.579731e-23 -1.429964e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
40           	((4.368167e-03 -2.946187e-02 3.138565e-21) (7.882580e-05 7.602773e-06 1.500654e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.440742e-22 1.537032e-21 7.854614e-03) (-3.145622e-24 3.762765e-23 -1.378431e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
41           	((4.375043e-03 -2.964075e-02 3.187930e-21) (8.079002e-05 7.585813e-06 1.445656e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.454584e-22 1.552790e-21 7.906558e-03) (-3.025180e-24 3.615733e-23 -1.301085e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
42           	((4.413042e-03 -2.918336e-02 3.215679e-21) (8.218648e-05 7.631358e-06 1.432944e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.458557e-22 1.558013e-21 7.707989e-03) (-2.995411e-24 3.586474e-23 -1.264448e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
43           	((4.470391e-03 -2.894349e-02 3.204359e-21) (8.404300e-05 7.631958e-06 1.452803e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.457995e-22 1.556893e-21 7.589312e-03) (-3.048057e-24 3.645143e-23 -1.202725e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
