"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.045384,1.0004,0,0,-2.7707,-5,0.05
0.045595,1,0,0,-3,-5,0.05
0.046509,1.0004,-0.0012277,0,-2.7707,-4.5707,0.05
0.046726,1,0,0,-3,-4.5707,0.05
0.044675,1.0013,0,0,-2.5414,-5,0.05
0.045781,1.0014,-0.0023497,0,-2.5414,-4.5707,0.05
0.049952,1.0004,-0.0025214,0,-2.7707,-4.1414,0.05
0.050185,1,0,0,-3,-4.1414,0.05
0.043367,1.0029,0,0,-2.3121,-5,0.05
0.044436,1.0029,-0.0034821,0,-2.3121,-4.5707,0.05
0.049167,1.0015,-0.0048279,0,-2.5414,-4.1414,0.05
0.055898,1.0005,-0.0039397,0,-2.7707,-3.7121,0.05
0.056157,1,0,0,-3,-3.7121,0.05
0.041444,1.005,0,0,-2.0828,-5,0.05
0.042457,1.0051,-0.0045817,0,-2.0828,-4.5707,0.05
0.047716,1.0032,-0.0071609,0,-2.3121,-4.1414,0.05
0.055026,1.0016,-0.0075522,0,-2.5414,-3.7121,0.05
0.064629,1.0005,-0.0055256,0,-2.7707,-3.2828,0.05
0.064918,1,0,0,-3,-3.2828,0.05
0.03893,1.0077,0,0,-1.8536,-5,0.05
0.039868,1.0079,-0.0056198,0,-1.8536,-4.5707,0.05
0.045576,1.0056,-0.0094337,0,-2.0828,-4.1414,0.05
0.053409,1.0035,-0.011222,0,-2.3121,-3.7121,0.05
0.063652,1.0018,-0.010612,0,-2.5414,-3.2828,0.05
0.076495,1.0006,-0.0072882,0,-2.7707,-2.8536,0.05
0.076811,1,0,0,-3,-2.8536,0.05
0.035864,1.011,0,0,-1.6243,-5,0.05
0.036706,1.0113,-0.0065711,0,-1.6243,-4.5707,0.05
0.042768,1.0086,-0.011588,0,-1.8536,-4.1414,0.05
0.051015,1.0062,-0.014818,0,-2.0828,-3.7121,0.05
0.061833,1.004,-0.015813,0,-2.3121,-3.2828,0.05
0.075426,1.002,-0.014037,0,-2.5414,-2.8536,0.05
0.091822,1.0006,-0.0091582,0,-2.7707,-2.4243,0.05
0.09214,1,0,0,-3,-2.4243,0.05
0.032292,1.0147,0,0,-1.395,-5,0.05
0.033016,1.0152,-0.0074106,0,-1.395,-4.5707,0.05
0.039324,1.0123,-0.013572,0,-1.6243,-4.1414,0.05
0.047854,1.0097,-0.018254,0,-1.8536,-3.7121,0.05
0.059119,1.007,-0.02096,0,-2.0828,-3.2828,0.05
0.073421,1.0044,-0.021008,0,-2.3121,-2.8536,0.05
0.090738,1.002,-0.017714,0,-2.5414,-2.4243,0.05
0.11071,1.0005,-0.010927,0,-2.7707,-1.995,0.05
0.11097,1,0,0,-3,-1.995,0.05
0.028267,1.0189,0,0,-1.1657,-5,0.05
0.028852,1.0195,-0.0081132,0,-1.1657,-4.5707,0.05
0.035286,1.0165,-0.015333,0,-1.395,-4.1414,0.05
0.043948,1.0138,-0.021447,0,-1.6243,-3.7121,0.05
0.055499,1.011,-0.025937,0,-1.8536,-3.2828,0.05
0.070393,1.0078,-0.02801,0,-2.0828,-2.8536,0.05
0.088676,1.0045,-0.026684,0,-2.3121,-2.4243,0.05
0.1098,1.0017,-0.021269,0,-2.5414,-1.995,0.05
0.13273,1.0002,-0.012091,0,-2.7707,-1.5657,0.05
0.13282,1,0,0,-3,-1.5657,0.05
0.023858,1.0233,0,0,-0.9364,-5,0.05
0.024281,1.0241,-0.0086541,0,-0.9364,-4.5707,0.05
0.030708,1.0213,-0.016818,0,-1.1657,-4.1414,0.05
0.039329,1.0187,-0.024311,0,-1.395,-3.7121,0.05
0.050966,1.0159,-0.030632,0,-1.6243,-3.2828,0.05
0.066281,1.0123,-0.03491,0,-1.8536,-2.8536,0.05
0.085493,1.0081,-0.035889,0,-2.0828,-2.4243,0.05
0.10802,1.0039,-0.032346,0,-2.3121,-1.995,0.05
0.13237,1.0007,-0.023749,0,-2.5414,-1.5657,0.05
0.15607,0.9996,-0.011985,0,-2.7707,-1.1364,0.05
0.15582,1,0,0,-3,-1.1364,0.05
0.019333,1.0291,-0.0089496,-2.1563e-21,-0.70711,-4.5707,0.05
0.019146,1.028,0,1.3869e-21,-0.70711,-5,0.05
