"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
-0.0045,1.0011,-0.0007714,0,-2.4395,-4.8092,0
-0.0047093,1.0013,-0.00084156,0,-2.3886,-4.8092,0
-0.0049379,1.0015,-0.00091017,0,-2.3376,-4.8092,0
-0.0051855,1.0018,-0.00097709,0,-2.2867,-4.8092,0
-0.0054516,1.0021,-0.0010422,0,-2.2357,-4.8092,0
-0.0057358,1.0024,-0.0011054,0,-2.1847,-4.8092,0
-0.0060376,1.0027,-0.0011667,0,-2.1338,-4.8092,0
-0.0063564,1.003,-0.0012258,0,-2.0828,-4.8092,0
-0.0066918,1.0033,-0.0012827,0,-2.0319,-4.8092,0
-0.0070431,1.0037,-0.0013373,0,-1.9809,-4.8092,0
-0.0074098,1.004,-0.0013896,0,-1.93,-4.8092,0
-0.0077911,1.0044,-0.0014394,0,-1.879,-4.8092,0
-0.0081865,1.0048,-0.0014867,0,-1.8281,-4.8092,0
-0.0085951,1.0052,-0.0015314,0,-1.7771,-4.8092,0
-0.0090163,1.0056,-0.0015735,0,-1.7262,-4.8092,0
-0.0094493,1.0061,-0.0016129,0,-1.6752,-4.8092,0
-0.0098933,1.0065,-0.0016496,0,-1.6243,-4.8092,0
-0.010347,1.007,-0.0016835,0,-1.5733,-4.8092,0
-0.010811,1.0074,-0.0017146,0,-1.5224,-4.8092,0
-0.011283,1.0079,-0.0017429,0,-1.4714,-4.8092,0
-0.011762,1.0084,-0.0017683,0,-1.4205,-4.8092,0
-0.012249,1.0088,-0.0017908,0,-1.3695,-4.8092,0
-0.01274,1.0093,-0.0018105,0,-1.3185,-4.8092,0
-0.013237,1.0098,-0.0018272,0,-1.2676,-4.8092,0
-0.013737,1.0103,-0.001841,0,-1.2166,-4.8092,0
-0.01424,1.0108,-0.001852,0,-1.1657,-4.8092,0
-0.014745,1.0113,-0.00186,0,-1.1147,-4.8092,0
-0.015251,1.0118,-0.0018652,0,-1.0638,-4.8092,0
-0.015756,1.0123,-0.0018675,0,-1.0128,-4.8092,0
-0.01626,1.0128,-0.0018669,0,-0.96187,-4.8092,0
-0.016762,1.0133,-0.0018635,0,-0.91092,-4.8092,0
-0.01726,1.0138,-0.0018572,0,-0.85997,-4.8092,0
-0.017754,1.0143,-0.0018482,0,-0.80901,-4.8092,0
-0.018243,1.0148,-0.0018362,0,-0.75806,-4.8092,0
-0.018727,1.0153,-0.0018163,-4.6661e-23,-0.70711,-4.8092,0
-0.0032923,1,0,0,-3,-4.7138,0
-0.0032982,1,-6.9843e-05,0,-2.949,-4.7138,0
-0.0033187,1,-0.00015909,0,-2.8981,-4.7138,0
-0.0033566,1.0001,-0.00026279,0,-2.8471,-4.7138,0
-0.0034114,1.0001,-0.00037453,0,-2.7962,-4.7138,0
-0.0034828,1.0002,-0.00048975,0,-2.7452,-4.7138,0
-0.0035725,1.0003,-0.00060532,0,-2.6943,-4.7138,0
-0.0036824,1.0004,-0.00072,0,-2.6433,-4.7138,0
-0.0038132,1.0006,-0.00083335,0,-2.5924,-4.7138,0
-0.0039649,1.0007,-0.00094512,0,-2.5414,-4.7138,0
-0.0041371,1.0009,-0.0010551,0,-2.4905,-4.7138,0
-0.0043297,1.0011,-0.0011631,0,-2.4395,-4.7138,0
-0.0045422,1.0013,-0.0012689,0,-2.3886,-4.7138,0
-0.0047743,1.0016,-0.0013724,0,-2.3376,-4.7138,0
-0.0050257,1.0018,-0.0014733,0,-2.2867,-4.7138,0
-0.0052959,1.0021,-0.0015715,0,-2.2357,-4.7138,0
-0.0055845,1.0024,-0.0016669,0,-2.1847,-4.7138,0
-0.005891,1.0027,-0.0017592,0,-2.1338,-4.7138,0
-0.0062148,1.003,-0.0018484,0,-2.0828,-4.7138,0
-0.0065555,1.0034,-0.0019342,0,-2.0319,-4.7138,0
-0.0069124,1.0037,-0.0020166,0,-1.9809,-4.7138,0
-0.0072849,1.0041,-0.0020955,0,-1.93,-4.7138,0
-0.0076723,1.0045,-0.0021706,0,-1.879,-4.7138,0
-0.0080741,1.0049,-0.002242,0,-1.8281,-4.7138,0
-0.0084893,1.0053,-0.0023094,0,-1.7771,-4.7138,0
-0.0089174,1.0057,-0.0023729,0,-1.7262,-4.7138,0
-0.0093575,1.0062,-0.0024323,0,-1.6752,-4.7138,0
-0.0098089,1.0066,-0.0024876,0,-1.6243,-4.7138,0
-0.010271,1.0071,-0.0025388,0,-1.5733,-4.7138,0
-0.010742,1.0075,-0.0025856,0,-1.5224,-4.7138,0
-0.011222,1.008,-0.0026282,0,-1.4714,-4.7138,0
-0.011709,1.0085,-0.0026665,0,-1.4205,-4.7138,0
-0.012204,1.009,-0.0027004,0,-1.3695,-4.7138,0
-0.012704,1.0095,-0.00273,0,-1.3185,-4.7138,0
-0.013209,1.01,-0.0027551,0,-1.2676,-4.7138,0
-0.013718,1.0105,-0.0027759,0,-1.2166,-4.7138,0
-0.01423,1.011,-0.0027924,0,-1.1657,-4.7138,0
-0.014744,1.0115,-0.0028044,0,-1.1147,-4.7138,0
-0.015258,1.012,-0.0028121,0,-1.0638,-4.7138,0
-0.015773,1.0125,-0.0028155,0,-1.0128,-4.7138,0
-0.016286,1.013,-0.0028146,0,-0.96187,-4.7138,0
-0.016797,1.0135,-0.0028095,0,-0.91092,-4.7138,0
-0.017304,1.014,-0.0028001,0,-0.85997,-4.7138,0
-0.017807,1.0145,-0.0027866,0,-0.80901,-4.7138,0
-0.018305,1.015,-0.002769,0,-0.75806,-4.7138,0
-0.018799,1.0156,-0.0027386,1.4754e-22,-0.70711,-4.7138,0
-0.0030307,1,0,0,-3,-4.6184,0
-0.0030368,1,-9.3776e-05,0,-2.949,-4.6184,0
-0.0030577,1,-0.00021361,0,-2.8981,-4.6184,0
-0.0030964,1.0001,-0.00035285,0,-2.8471,-4.6184,0
-0.0031523,1.0001,-0.0005029,0,-2.7962,-4.6184,0
-0.0032252,1.0002,-0.00065762,0,-2.7452,-4.6184,0
-0.0033168,1.0003,-0.00081282,0,-2.6943,-4.6184,0
-0.0034289,1.0004,-0.00096683,0,-2.6433,-4.6184,0
-0.0035624,1.0006,-0.0011191,0,-2.5924,-4.6184,0
-0.0037173,1.0007,-0.0012692,0,-2.5414,-4.6184,0
-0.0038931,1.0009,-0.0014169,0,-2.4905,-4.6184,0
