# Forces     
# CofR       : (5.000000e-01 0.000000e+00 0.000000e+00)
# Time       forces(pressure viscous porous)	moments(pressure viscous porous)
1            	((-1.797369e-02 -1.453836e-01 5.695285e-21) (1.986910e-04 -1.245216e-05 4.282963e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.064582e-22 2.264304e-21 5.952138e-02) (-8.942074e-23 1.057940e-21 9.671454e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
2            	((-9.747949e-03 -9.485797e-02 3.554259e-21) (2.031541e-04 4.268181e-07 -1.667970e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.499439e-22 1.614488e-21 3.761210e-02) (2.278960e-25 -2.299454e-24 5.542076e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
3            	((-3.267774e-03 -5.142405e-02 2.803336e-21) (2.054111e-04 1.206688e-05 -1.198986e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.185952e-22 1.276544e-21 1.922125e-02) (2.475461e-24 -2.897394e-23 3.010709e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
4            	((-2.212243e-03 -4.589342e-02 2.908389e-21) (1.995430e-04 1.425245e-05 7.601614e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.191103e-22 1.286877e-21 1.686566e-02) (-1.620194e-24 1.945711e-23 -1.050327e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
5            	((-1.699106e-03 -4.277599e-02 2.892478e-21) (1.924044e-04 1.277184e-05 4.211899e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.146564e-22 1.243542e-21 1.573188e-02) (-9.120912e-25 1.087652e-23 -7.520539e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
6            	((-1.716788e-03 -4.303493e-02 2.760468e-21) (1.837185e-04 1.143520e-05 5.605945e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.086632e-22 1.179529e-21 1.603822e-02) (-1.213833e-24 1.423806e-23 -5.285251e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
7            	((-1.946712e-03 -4.468827e-02 2.516768e-21) (1.746374e-04 1.104451e-05 9.005299e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.026295e-22 1.109373e-21 1.681717e-02) (-1.959227e-24 2.302416e-23 -7.438363e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
8            	((-2.179899e-03 -4.665570e-02 2.332428e-21) (1.658070e-04 1.042483e-05 1.096866e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-9.876931e-23 1.063024e-21 1.768184e-02) (-2.364761e-24 2.791214e-23 -7.918298e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
9            	((-2.110968e-03 -4.623464e-02 2.229937e-21) (1.556327e-04 9.783808e-06 1.034371e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-9.576138e-23 1.029029e-21 1.752410e-02) (-2.200854e-24 2.591489e-23 -7.969231e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
10           	((-1.800729e-03 -4.473763e-02 2.143663e-21) (1.445397e-04 9.222181e-06 1.129597e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-9.373973e-23 1.005284e-21 1.684628e-02) (-2.407617e-24 2.852909e-23 -8.505926e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
11           	((-1.120680e-03 -4.116877e-02 2.028126e-21) (1.308887e-04 9.025706e-06 1.027173e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-9.070277e-23 9.703399e-22 1.526295e-02) (-2.197365e-24 2.622489e-23 -1.137596e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
12           	((-7.756180e-04 -3.848552e-02 2.275030e-21) (1.173625e-04 8.698941e-06 9.477777e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-9.379956e-23 1.012627e-21 1.412883e-02) (-1.934413e-24 2.321880e-23 -1.352132e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
13           	((-4.502509e-04 -3.670882e-02 2.200540e-21) (1.051714e-04 8.321616e-06 1.027805e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-9.228736e-23 9.943527e-22 1.330949e-02) (-2.192745e-24 2.607584e-23 -1.538992e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
14           	((2.133414e-04 -3.362712e-02 2.111120e-21) (9.039408e-05 7.978337e-06 9.760008e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-9.047501e-23 9.724437e-22 1.190068e-02) (-2.075887e-24 2.473523e-23 -1.779448e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
15           	((4.196976e-04 -3.135028e-02 2.168622e-21) (7.875705e-05 7.509105e-06 7.731379e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.992128e-23 9.701221e-22 1.096308e-02) (-1.606225e-24 1.936248e-23 -1.882893e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
16           	((5.844470e-04 -3.001247e-02 2.027096e-21) (7.011766e-05 6.999528e-06 9.135538e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.698016e-23 9.347528e-22 1.036974e-02) (-1.950136e-24 2.326249e-23 -1.900654e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
17           	((9.480765e-04 -2.744101e-02 1.849595e-21) (6.086654e-05 6.553867e-06 8.005495e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.276887e-23 8.854047e-22 9.261410e-03) (-1.713210e-24 2.048498e-23 -1.947457e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
18           	((1.247610e-03 -2.513289e-02 1.798303e-21) (5.221815e-05 6.231115e-06 7.470239e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.064117e-23 8.624509e-22 8.295152e-03) (-1.565719e-24 1.870424e-23 -2.027534e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
19           	((1.260990e-03 -2.450921e-02 1.757939e-21) (4.632014e-05 5.854535e-06 8.196510e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.958610e-23 8.502993e-22 8.038740e-03) (-1.718670e-24 2.038436e-23 -2.026438e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
20           	((1.371278e-03 -2.311162e-02 1.645640e-21) (4.026444e-05 5.525054e-06 7.387094e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.674661e-23 8.174066e-22 7.461854e-03) (-1.569269e-24 1.865851e-23 -2.030409e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
21           	((1.603207e-03 -2.125275e-02 1.523710e-21) (3.445475e-05 5.263133e-06 7.564505e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.382162e-23 7.832013e-22 6.678120e-03) (-1.602805e-24 1.913225e-23 -2.055136e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
22           	((1.837163e-03 -1.951558e-02 1.502819e-21) (2.974556e-05 5.107031e-06 7.513709e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.277545e-23 7.721382e-22 5.949488e-03) (-1.568345e-24 1.876106e-23 -2.095531e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
23           	((1.849224e-03 -1.914109e-02 1.504120e-21) (2.839499e-05 4.901078e-06 8.245237e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.291979e-23 7.735831e-22 5.788994e-03) (-1.723788e-24 2.050370e-23 -2.032975e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
