# Forces     
# CofR       : (5.000000e-01 0.000000e+00 0.000000e+00)
# Time       forces(pressure viscous porous)	moments(pressure viscous porous)
24           	((1.904692e-03 -1.853430e-02 1.461086e-21) (2.780276e-05 4.771912e-06 8.087669e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.220099e-23 7.645036e-22 5.524559e-03) (-1.718814e-24 2.042661e-23 -1.968590e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
25           	((2.037790e-03 -1.772758e-02 1.396838e-21) (2.715559e-05 4.698598e-06 8.972157e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.112102e-23 7.508831e-22 5.162855e-03) (-1.907100e-24 2.271007e-23 -1.924991e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
26           	((2.099125e-03 -1.715336e-02 1.451854e-21) (2.734658e-05 4.676810e-06 7.916618e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.195327e-23 7.616632e-22 4.922642e-03) (-1.665407e-24 1.982911e-23 -1.878595e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
27           	((2.142436e-03 -1.684349e-02 1.447385e-21) (2.763032e-05 4.623844e-06 7.596994e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.195801e-23 7.614780e-22 4.780014e-03) (-1.611025e-24 1.913830e-23 -1.818240e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
28           	((2.200130e-03 -1.654040e-02 1.435787e-21) (2.814820e-05 4.552677e-06 8.531249e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.195315e-23 7.608338e-22 4.631150e-03) (-1.785310e-24 2.129563e-23 -1.739705e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
29           	((2.250439e-03 -1.614815e-02 1.477486e-21) (2.894484e-05 4.510614e-06 8.636149e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.264454e-23 7.695829e-22 4.461726e-03) (-1.793946e-24 2.144307e-23 -1.667297e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
30           	((2.274405e-03 -1.606258e-02 1.492936e-21) (3.020452e-05 4.458605e-06 8.473492e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.314068e-23 7.751151e-22 4.412195e-03) (-1.780328e-24 2.121255e-23 -1.586371e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
31           	((2.282745e-03 -1.608097e-02 1.492126e-21) (3.127949e-05 4.385800e-06 9.068784e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.341919e-23 7.777318e-22 4.400119e-03) (-1.908684e-24 2.274579e-23 -1.500144e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
32           	((2.313760e-03 -1.591092e-02 1.484125e-21) (3.228075e-05 4.297088e-06 8.786971e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.326368e-23 7.758351e-22 4.317541e-03) (-1.845216e-24 2.202400e-23 -1.409288e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
33           	((2.322534e-03 -1.596223e-02 1.512968e-21) (3.386236e-05 4.239990e-06 8.803593e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.400714e-23 7.844185e-22 4.326306e-03) (-1.847981e-24 2.204781e-23 -1.325485e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
34           	((2.335090e-03 -1.592574e-02 1.485309e-21) (3.558306e-05 4.191158e-06 8.038298e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.355307e-23 7.786584e-22 4.297304e-03) (-1.701526e-24 2.027768e-23 -1.244204e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
35           	((2.377857e-03 -1.566469e-02 1.457921e-21) (3.712027e-05 4.150913e-06 8.671989e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.294561e-23 7.714482e-22 4.178229e-03) (-1.815006e-24 2.172096e-23 -1.166838e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
36           	((2.410563e-03 -1.542293e-02 1.485937e-21) (3.882946e-05 4.136272e-06 8.162697e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.335678e-23 7.768171e-22 4.072585e-03) (-1.706982e-24 2.042774e-23 -1.097574e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
37           	((2.433996e-03 -1.537968e-02 1.476793e-21) (4.054847e-05 4.120216e-06 8.445693e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.327522e-23 7.755672e-22 4.042473e-03) (-1.771822e-24 2.117769e-23 -1.032092e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
38           	((2.432109e-03 -1.545658e-02 1.471666e-21) (4.198413e-05 4.115235e-06 9.078172e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.341100e-23 7.765990e-22 4.056169e-03) (-1.901507e-24 2.274097e-23 -9.795757e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
39           	((2.433876e-03 -1.559731e-02 1.491855e-21) (4.357485e-05 4.100554e-06 8.916643e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.404287e-23 7.836712e-22 4.099497e-03) (-1.866860e-24 2.231388e-23 -9.174345e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
40           	((2.447768e-03 -1.551085e-02 1.521330e-21) (4.495316e-05 4.115814e-06 8.692571e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.462802e-23 7.907760e-22 4.055591e-03) (-1.818412e-24 2.175500e-23 -8.742611e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
41           	((2.443738e-03 -1.568711e-02 1.546243e-21) (4.660532e-05 4.134380e-06 9.160792e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.540337e-23 7.994612e-22 4.112317e-03) (-1.911031e-24 2.286018e-23 -8.295150e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
42           	((2.460522e-03 -1.556477e-02 1.529179e-21) (4.781317e-05 4.175891e-06 8.880805e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.520668e-23 7.967042e-22 4.046565e-03) (-1.869901e-24 2.235382e-23 -8.051844e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
43           	((2.473507e-03 -1.559045e-02 1.568158e-21) (4.926160e-05 4.227314e-06 9.262707e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.614380e-23 8.076586e-22 4.044373e-03) (-1.938595e-24 2.318472e-23 -7.793809e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
44           	((2.494987e-03 -1.542903e-02 1.610694e-21) (5.050211e-05 4.294322e-06 8.780638e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.694553e-23 8.175040e-22 3.971745e-03) (-1.837453e-24 2.198434e-23 -7.671848e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
45           	((2.528941e-03 -1.528638e-02 1.616923e-21) (5.165872e-05 4.348320e-06 8.872452e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.719006e-23 8.201592e-22 3.899006e-03) (-1.864018e-24 2.228495e-23 -7.543816e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
46           	((2.531690e-03 -1.523051e-02 1.649405e-21) (5.262775e-05 4.415780e-06 9.006011e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.802478e-23 8.298014e-22 3.862917e-03) (-1.880669e-24 2.251285e-23 -7.506619e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
47           	((2.550856e-03 -1.520628e-02 1.656565e-21) (5.387253e-05 4.448073e-06 8.980726e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.836199e-23 8.333892e-22 3.839094e-03) (-1.884023e-24 2.251759e-23 -7.231896e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
48           	((2.550364e-03 -1.517163e-02 1.691557e-21) (5.479422e-05 4.500763e-06 9.234148e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.924065e-23 8.435801e-22 3.813617e-03) (-1.923675e-24 2.303261e-23 -7.118160e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
49           	((2.561380e-03 -1.518409e-02 1.701531e-21) (5.600662e-05 4.544034e-06 9.155039e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.965386e-23 8.480385e-22 3.805739e-03) (-1.916848e-24 2.291327e-23 -6.910496e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
50           	((2.560608e-03 -1.513262e-02 1.740607e-21) (5.689542e-05 4.621615e-06 9.269147e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.062115e-23 8.592859e-22 3.774299e-03) (-1.931146e-24 2.311927e-23 -6.928219e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
51           	((2.572680e-03 -1.510082e-02 1.747196e-21) (5.807527e-05 4.693828e-06 9.173504e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.093364e-23 8.626084e-22 3.749903e-03) (-1.917192e-24 2.292934e-23 -6.860474e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
52           	((2.575091e-03 -1.500598e-02 1.788806e-21) (5.882122e-05 4.781343e-06 9.344693e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.196207e-23 8.745701e-22 3.700971e-03) (-1.947230e-24 2.331767e-23 -6.958442e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
53           	((2.602194e-03 -1.466223e-02 1.817135e-21) (5.972893e-05 4.867377e-06 8.914933e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.238172e-23 8.800360e-22 3.559241e-03) (-1.856908e-24 2.225275e-23 -6.989697e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
54           	((2.629387e-03 -1.444436e-02 1.836945e-21) (6.059945e-05 4.947390e-06 9.350579e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.286412e-23 8.856619e-22 3.461262e-03) (-1.948725e-24 2.335070e-23 -7.028763e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
55           	((2.633791e-03 -1.450941e-02 1.826303e-21) (6.137217e-05 5.031038e-06 9.717616e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.319492e-23 8.882709e-22 3.466411e-03) (-2.037448e-24 2.437310e-23 -7.149810e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
56           	((2.611392e-03 -1.466068e-02 1.853260e-21) (6.224828e-05 5.145693e-06 9.748404e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.415838e-23 8.988571e-22 3.516015e-03) (-2.035712e-24 2.435554e-23 -7.329984e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
57           	((2.618611e-03 -1.429889e-02 1.895558e-21) (6.284755e-05 5.259246e-06 9.080521e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.487899e-23 9.079160e-22 3.372907e-03) (-1.889454e-24 2.265442e-23 -7.541542e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
58           	((2.644194e-03 -1.421543e-02 1.874598e-21) (6.374086e-05 5.346440e-06 9.332149e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.462172e-23 9.043798e-22 3.327330e-03) (-1.954108e-24 2.336769e-23 -7.605344e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
59           	((2.661380e-03 -1.402877e-02 1.899665e-21) (6.394929e-05 5.443093e-06 9.829757e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.545059e-23 9.135838e-22 3.239279e-03) (-2.050607e-24 2.455918e-23 -7.898268e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
60           	((2.669488e-03 -1.386089e-02 1.912812e-21) (6.461597e-05 5.545343e-06 9.596671e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.584537e-23 9.180298e-22 3.166148e-03) (-2.000911e-24 2.394718e-23 -8.067282e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
61           	((2.681526e-03 -1.365307e-02 1.928046e-21) (6.507203e-05 5.648214e-06 9.491292e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.626628e-23 9.228329e-22 3.077816e-03) (-1.982581e-24 2.371510e-23 -8.296343e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
62           	((2.693713e-03 -1.344639e-02 1.944590e-21) (6.547228e-05 5.750937e-06 9.598297e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.673001e-23 9.281122e-22 2.990144e-03) (-2.002952e-24 2.396410e-23 -8.547899e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
63           	((2.731195e-03 -1.296024e-02 1.941913e-21) (6.557513e-05 5.856665e-06 9.341829e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.664155e-23 9.271298e-22 2.792059e-03) (-1.955867e-24 2.341770e-23 -8.889104e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
64           	((2.734609e-03 -1.288096e-02 1.960708e-21) (6.593282e-05 5.948979e-06 9.768137e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.727920e-23 9.341852e-22 2.753773e-03) (-2.040756e-24 2.441529e-23 -9.127016e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
65           	((2.738502e-03 -1.272858e-02 1.971160e-21) (6.612943e-05 6.047187e-06 9.694120e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.769663e-23 9.387085e-22 2.689641e-03) (-2.030191e-24 2.429558e-23 -9.425211e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
66           	((2.744459e-03 -1.251886e-02 1.976543e-21) (6.624049e-05 6.145785e-06 9.747974e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.795180e-23 9.414217e-22 2.604873e-03) (-2.040343e-24 2.444281e-23 -9.734264e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
67           	((2.751485e-03 -1.226583e-02 1.979896e-21) (6.627836e-05 6.239761e-06 9.665444e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.811891e-23 9.431897e-22 2.504923e-03) (-2.027869e-24 2.430464e-23 -1.005200e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
68           	((2.759703e-03 -1.198789e-02 1.982783e-21) (6.628608e-05 6.335799e-06 9.774737e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.825564e-23 9.446436e-22 2.396322e-03) (-2.049816e-24 2.459504e-23 -1.039189e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
69           	((2.769539e-03 -1.169497e-02 1.986293e-21) (6.622262e-05 6.428420e-06 9.747026e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.839598e-23 9.461642e-22 2.282475e-03) (-2.047355e-24 2.458381e-23 -1.074691e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
70           	((2.780526e-03 -1.139173e-02 1.989795e-21) (6.607696e-05 6.524135e-06 9.838290e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.853012e-23 9.476252e-22 2.165294e-03) (-2.065672e-24 2.482769e-23 -1.114500e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
71           	((2.792156e-03 -1.107822e-02 1.992414e-21) (6.588102e-05 6.622560e-06 9.799247e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.863638e-23 9.487744e-22 2.045038e-03) (-2.060340e-24 2.477558e-23 -1.157847e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
72           	((2.804092e-03 -1.075518e-02 1.994054e-21) (6.562108e-05 6.720540e-06 9.872669e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.871109e-23 9.495721e-22 1.922141e-03) (-2.075927e-24 2.498621e-23 -1.203039e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
73           	((2.816340e-03 -1.042273e-02 1.994429e-21) (6.530380e-05 6.816530e-06 9.881809e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.874636e-23 9.499281e-22 1.796744e-03) (-2.079895e-24 2.505347e-23 -1.249989e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
74           	((2.828787e-03 -1.008132e-02 1.993338e-21) (6.493890e-05 6.905218e-06 9.947233e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.873847e-23 9.497966e-22 1.669031e-03) (-2.094733e-24 2.525629e-23 -1.294834e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
75           	((2.841398e-03 -9.730569e-03 1.990663e-21) (6.451528e-05 6.977590e-06 9.913924e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.868402e-23 9.491390e-22 1.538877e-03) (-2.088808e-24 2.520096e-23 -1.333787e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
76           	((2.853998e-03 -9.370414e-03 1.985729e-21) (6.401734e-05 7.015836e-06 9.940924e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.856756e-23 9.477729e-22 1.406268e-03) (-2.094653e-24 2.527895e-23 -1.358236e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
77           	((2.866539e-03 -8.999792e-03 1.977923e-21) (6.345167e-05 7.029290e-06 9.893881e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.837459e-23 9.455286e-22 1.270805e-03) (-2.085171e-24 2.516481e-23 -1.373014e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
78           	((2.877338e-03 -8.620758e-03 1.965619e-21) (6.287076e-05 7.034576e-06 9.855527e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.806598e-23 9.419486e-22 1.133784e-03) (-2.075564e-24 2.504579e-23 -1.385243e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
79           	((2.888766e-03 -8.233624e-03 1.950261e-21) (6.228119e-05 7.046188e-06 9.821477e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.768378e-23 9.375086e-22 9.943679e-04) (-2.068500e-24 2.495076e-23 -1.402707e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
80           	((2.901255e-03 -7.836320e-03 1.930044e-21) (6.165480e-05 7.051757e-06 9.813943e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.719101e-23 9.317628e-22 8.515824e-04) (-2.065818e-24 2.491238e-23 -1.419452e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
81           	((2.912627e-03 -7.451251e-03 1.905314e-21) (6.100672e-05 7.043606e-06 9.811467e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.661540e-23 9.249936e-22 7.140595e-04) (-2.065270e-24 2.489895e-23 -1.431421e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
82           	((2.919030e-03 -7.118481e-03 1.880699e-21) (6.034326e-05 7.020763e-06 9.868800e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.607250e-23 9.185426e-22 5.975920e-04) (-2.075896e-24 2.501747e-23 -1.437815e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
83           	((2.907220e-03 -6.954637e-03 1.863034e-21) (5.978367e-05 6.986654e-06 9.934231e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.577118e-23 9.147558e-22 5.494027e-04) (-2.088150e-24 2.514489e-23 -1.437439e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
84           	((2.897429e-03 -6.801583e-03 1.830395e-21) (5.918148e-05 6.960746e-06 9.970427e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.517729e-23 9.074045e-22 5.042431e-04) (-2.097167e-24 2.524092e-23 -1.443453e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
85           	((2.912164e-03 -6.246033e-03 1.783098e-21) (5.835664e-05 6.947267e-06 9.274707e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.379623e-23 8.917837e-22 3.095214e-04) (-1.948424e-24 2.348624e-23 -1.457672e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
86           	((2.931066e-03 -5.699475e-03 1.712246e-21) (5.754086e-05 6.916911e-06 9.402092e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.201133e-23 8.710939e-22 1.155078e-04) (-1.975807e-24 2.381030e-23 -1.469450e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
